100,20
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120
V27,98.23,57.20,53.15,68.01,62.20,22.14,6.40,99.98,70.09,77.62,45.04,44.72,23.26,64.41,8.54,31.76,97.58,68.60,60.01,32.76,76.69,68.88,85.87,96.60,30.27,89.47,23.26,0.00,37.80,79.16,81.49,98.41,85.02,42.58,69.46,39.81,66.31,51.62,23.85,50.33,10.44,59.17,20.59,20.12,95.82,6.40,33.24,22.14,85.91,40.52,36.22,69.46,86.21,19.72,20.25,63.06,89.89,41.59,33.11,44.15,44.18,89.20,45.54,87.48,61.85,86.00,18.44,31.78,6.40,81.12,10.77,53.76,81.30,21.93,32.14,29.68,25.02,80.28,64.40,42.15,60.17,70.09,45.65,89.89,75.17,30.53,31.78,70.18,45.54,36.06,50.70,89.94,30.48,59.41,40.02,74.00,63.98,97.62,84.17,28.28,56.64,30.08,22.36,44.92,27.66,45.34,91.42,47.80,69.03,15.30,70.94,73.88,45.10,17.03,83.01,36.50,6.08,50.45,88.32,46.04,74.67
V28,62.59,59.20,63.20,44.94,42.52,57.49,39.82,92.80,73.38,62.24,25.81,43.42,34.21,27.89,41.11,38.05,86.31,78.77,38.42,6.32,77.62,37.66,77.01,59.81,26.93,79.51,20.10,37.80,0.00,56.44,75.17,89.50,58.87,32.31,32.31,18.38,31.14,21.21,37.36,15.30,35.47,22.14,17.69,34.18,61.40,31.40,40.02,18.36,54.23,15.00,19.92,65.30,63.06,18.38,31.95,26.68,84.60,17.80,55.36,18.38,23.60,65.74,25.00,56.44,54.20,60.54,48.55,54.71,44.20,43.86,27.59,45.18,43.83,41.79,61.27,8.60,57.14,48.17,28.44,21.26,51.97,76.90,46.10,81.22,72.01,14.32,58.69,72.73,71.78,30.87,70.86,82.20,7.62,60.73,26.40,61.72,28.28,89.81,73.88,61.29,65.49,34.06,34.01,16.40,45.61,8.06,84.63,39.40,31.24,46.62,73.05,75.03,75.58,49.41,58.18,29.61,42.45,16.12,50.99,26.40,45.88
V29,43.68,43.93,56.22,11.70,17.00,87.48,84.48,46.53,49.93,15.52,34.71,99.85,58.22,41.34,76.06,51.97,36.40,62.80,19.42,55.54,48.33,24.19,33.06,49.50,82.76,33.06,73.74,79.16,56.44,0.00,35.90,41.77,9.22,37.05,44.28,74.33,35.85,71.45,59.54,62.97,83.36,44.82,62.82,61.13,37.00,74.55,95.46,59.23,23.54,43.08,43.93,35.51,7.07,63.79,60.03,41.05,43.10,73.24,69.64,39.00,36.14,10.05,80.00,22.14,29.07,8.60,76.12,70.23,84.01,46.87,69.58,30.46,49.03,64.94,80.65,57.94,82.46,24.02,39.12,76.84,28.60,56.86,42.54,36.01,39.40,70.21,76.55,48.55,82.37,87.24,73.24,38.00,61.33,43.14,82.68,21.02,38.28,43.42,29.07,86.13,55.23,51.35,87.28,40.25,63.06,57.01,41.00,33.96,54.12,76.66,48.02,47.41,91.24,78.92,5.66,43.01,80.01,64.38,50.09,33.73,15.81
V30,79.56,25.71,36.00,39.12,36.14,80.28,87.82,18.60,20.25,20.40,49.40,115.31,58.31,71.39,75.15,49.74,18.00,33.54,40.52,71.40,15.00,56.14,6.32,85.33,96.90,10.20,86.27,81.49,75.17,35.90,0.00,17.09,44.27,43.93,75.80,93.23,66.75,94.83,57.71,86.76,89.31,72.80,72.86,61.40,72.80,79.32,107.63,68.62,59.44,60.21,56.22,12.08,37.16,73.59,61.59,70.61,9.43,92.91,57.87,57.31,51.62,38.47,100.12,57.97,21.26,42.72,70.52,59.03,84.10,81.01,75.21,30.48,83.02,60.93,68.47,72.47,73.55,59.41,69.23,96.26,23.43,26.83,35.85,9.06,8.06,85.91,64.63,18.97,64.20,102.65,52.47,8.54,76.84,23.54,100.42,16.03,68.25,16.12,8.49,75.95,33.06,51.87,97.31,59.94,56.30,79.18,10.00,36.80,84.72,72.45,18.03,15.65,74.17,73.68,40.80,48.80,79.62,88.10,85.15,48.88,50.09
V31,83.10,42.72,52.35,48.85,48.02,97.27,104.71,5.10,35.01,28.64,63.78,130.86,75.18,81.71,92.20,66.65,6.32,46.87,52.48,86.31,28.16,65.15,12.81,90.01,112.54,10.00,102.07,98.41,89.50,41.77,17.09,0.00,48.04,59.55,85.38,107.81,76.55,108.17,74.69,99.86,106.00,84.10,88.87,78.29,76.11,96.04,123.69,84.65,64.07,74.52,71.42,29.15,40.01,89.64,78.39,81.15,11.18,107.30,74.73,71.22,65.95,40.05,114.48,62.01,37.20,46.01,87.60,75.93,101.13,88.65,91.81,46.23,90.80,78.00,85.16,87.68,90.47,65.62,79.48,110.75,39.20,40.45,52.77,8.60,24.52,101.12,81.39,34.00,80.01,118.11,68.01,8.54,91.93,40.52,115.36,27.80,78.55,2.83,15.62,92.76,49.16,68.60,113.60,73.60,73.39,92.66,8.00,52.63,94.92,89.54,33.00,30.02,90.01,90.76,45.18,64.82,96.66,101.24,91.66,63.13,57.49
V32,35.51,53.08,65.30,17.26,24.04,94.83,90.02,53.01,59.08,24.17,40.00,102.04,65.12,39.60,82.61,59.48,42.19,72.01,25.18,58.94,57.25,22.80,40.79,42.01,85.70,40.20,77.37,85.02,58.87,9.22,44.27,48.04,0.00,43.93,41.40,76.03,33.94,71.61,66.71,63.25,88.36,44.05,67.48,67.90,28.64,80.02,98.67,64.20,16.03,46.87,49.04,44.65,8.06,68.47,66.61,39.62,50.80,74.71,77.88,42.76,41.05,8.94,81.12,14.04,38.21,2.24,83.43,78.39,90.20,41.79,75.03,38.95,44.01,72.28,88.77,61.61,90.14,18.38,37.48,78.29,37.64,66.03,51.00,43.29,48.30,73.05,84.69,57.69,91.07,89.69,82.20,45.40,64.56,52.33,84.53,30.02,36.80,50.00,36.88,93.92,64.38,58.46,91.22,43.42,70.84,58.18,48.37,41.79,51.40,83.74,57.14,56.44,99.76,86.12,3.61,49.65,86.37,64.64,43.93,39.00,13.60
V33,65.86,27.29,33.73,26.68,20.10,50.96,48.27,62.23,41.23,35.47,9.49,71.42,21.21,39.92,39.01,16.12,57.43,48.01,18.97,27.78,45.31,33.97,46.75,67.36,53.04,49.82,42.52,42.58,32.31,37.05,43.93,59.55,43.93,0.00,45.69,49.74,38.08,53.16,22.80,45.89,48.10,38.08,29.41,24.08,61.40,38.60,64.20,25.24,48.88,18.25,12.53,33.29,44.01,30.23,23.00,38.63,53.26,49.65,36.24,17.03,11.18,47.01,56.82,49.65,22.67,44.55,39.56,36.40,47.10,55.57,33.84,13.45,56.82,28.46,46.32,28.60,46.62,44.41,38.48,52.84,20.52,45.28,15.13,50.99,39.96,42.01,42.44,40.52,51.66,58.73,46.14,51.62,33.02,28.64,56.61,32.76,37.58,59.41,44.20,50.57,35.23,14.56,54.38,20.02,27.78,37.85,53.76,7.21,51.42,39.81,40.80,42.72,58.90,42.20,41.44,6.08,43.01,47.07,62.13,9.85,36.24
V34,31.06,70.41,79.06,36.88,40.05,87.32,72.01,89.84,82.39,57.01,36.25,68.59,59.55,5.83,71.40,59.36,80.41,91.98,36.00,36.72,84.01,20.25,74.95,27.51,56.22,75.96,51.92,69.46,32.31,44.28,75.80,85.38,41.40,45.69,0.00,43.01,9.06,34.21,62.48,27.17,67.78,10.30,48.88,60.83,31.40,63.13,69.07,48.01,29.41,31.89,39.20,70.00,48.55,49.74,58.69,7.21,84.53,41.05,79.63,30.23,34.89,50.22,45.71,32.20,59.08,43.60,77.10,79.40,75.80,11.66,58.83,52.77,12.04,68.01,87.97,39.82,85.56,24.08,7.28,44.18,57.14,87.97,60.41,78.59,76.06,44.91,84.65,81.30,95.96,58.01,91.68,80.28,39.92,71.02,51.16,59.84,8.25,86.68,71.06,89.81,80.08,56.04,65.31,27.80,70.00,26.48,83.20,50.00,10.00,75.82,81.22,82.05,101.83,78.64,42.72,47.51,73.50,28.28,18.87,35.85,28.65
V35,74.01,75.77,78.10,63.01,60.88,61.85,38.83,111.04,90.08,80.62,44.05,26.25,46.17,40.45,46.17,52.17,104.69,94.11,56.73,21.95,94.81,53.85,95.27,69.46,14.32,97.84,16.55,39.81,18.38,74.33,93.23,107.81,76.03,49.74,43.01,0.00,45.12,12.81,49.09,16.12,32.80,34.53,26.02,45.01,74.24,34.18,26.31,29.27,69.38,33.30,37.22,83.01,80.78,26.00,43.05,39.62,102.65,2.24,66.07,36.77,41.87,83.35,7.28,71.84,72.11,77.83,55.54,65.12,45.65,53.24,32.76,62.97,52.47,52.04,69.43,21.54,63.60,63.32,41.77,3.16,69.89,92.97,62.39,99.49,89.69,10.05,67.74,89.55,81.61,15.00,83.02,100.42,17.09,77.47,8.54,80.06,41.98,108.07,92.20,67.36,80.78,48.27,25.24,34.71,57.01,18.03,102.80,56.94,37.66,52.89,89.96,92.14,83.43,55.36,75.66,46.10,45.69,15.30,59.68,44.69,62.65
V36,31.95,61.85,70.94,27.89,31.02,82.66,69.57,80.96,73.55,48.08,28.84,71.31,53.81,5.66,67.23,52.63,71.69,83.43,27.02,34.21,75.03,11.66,65.97,30.81,57.14,67.05,51.24,66.31,31.14,35.85,66.75,76.55,33.94,38.08,9.06,45.12,0.00,38.47,56.59,30.46,65.97,10.77,45.88,55.44,30.27,60.17,70.26,44.28,24.35,26.63,33.30,61.01,40.61,46.82,53.41,5.83,75.50,43.42,73.11,24.08,27.80,42.52,49.04,26.93,50.16,36.07,72.01,73.00,72.50,17.49,55.54,44.15,18.79,62.29,82.02,37.36,80.28,18.38,3.61,46.84,48.26,79.25,52.39,69.64,67.03,45.00,78.52,72.44,89.20,59.84,84.22,71.31,38.47,62.37,53.60,50.80,3.16,77.79,62.10,84.50,71.78,49.58,65.12,22.20,63.70,27.29,74.22,41.79,18.38,71.03,72.34,73.11,95.59,73.82,34.83,40.61,69.77,31.78,24.21,28.30,20.62
V37,64.38,80.28,84.38,60.88,60.22,73.36,51.22,111.83,94.37,80.00,45.69,35.00,54.33,33.11,57.27,59.01,104.40,99.98,55.80,27.02,98.35,48.83,96.04,59.00,26.93,98.18,28.60,51.62,21.21,71.45,94.83,108.17,71.61,53.16,34.21,12.81,38.47,0.00,57.43,8.49,45.34,27.78,35.17,53.76,65.51,45.65,37.95,37.48,62.65,35.11,41.00,85.62,77.34,35.44,51.62,32.65,104.24,10.63,75.13,37.58,43.46,79.65,12.04,65.31,74.32,73.60,66.13,74.33,57.69,43.10,43.46,65.55,42.01,61.19,79.70,28.07,74.46,56.80,34.89,12.08,72.09,98.06,67.27,100.17,92.31,21.10,77.62,93.68,91.22,26.25,91.35,101.36,24.33,81.74,18.68,80.45,35.36,108.76,92.65,78.39,86.70,55.01,38.01,34.89,65.62,15.65,103.94,60.08,27.02,63.69,93.96,95.82,93.92,66.31,71.84,50.80,57.31,7.07,49.01,46.10,58.01
V38,86.84,33.42,30.89,49.48,42.76,28.16,30.23,76.16,46.69,55.44,29.15,63.51,3.16,56.73,17.72,8.25,74.09,46.96,41.76,31.05,53.08,55.23,62.24,87.21,45.88,65.92,35.44,23.85,37.36,59.54,57.71,74.69,66.71,22.80,62.48,49.09,56.59,57.43,0.00,52.63,32.53,53.01,23.09,4.47,83.01,22.67,53.54,20.02,71.11,30.61,23.35,45.65,66.37,23.19,6.08,55.32,66.04,50.01,18.03,32.53,29.41,69.35,56.22,72.09,38.60,67.27,16.76,17.46,26.57,73.59,19.72,31.26,74.41,5.83,25.50,29.43,24.19,66.24,55.90,52.15,37.11,47.43,21.93,66.21,51.31,39.20,22.20,46.67,34.54,52.20,34.01,66.19,33.14,35.61,53.15,51.20,55.17,73.82,60.75,28.30,34.13,8.25,42.44,34.71,8.25,45.22,67.60,26.00,65.51,17.12,47.38,50.25,39.41,19.42,64.13,17.46,22.14,53.37,80.62,30.02,58.69
V39,58.01,73.16,78.03,52.40,51.87,71.28,50.99,103.59,87.10,71.61,37.95,41.44,49.48,25.30,54.92,53.24,96.02,93.34,47.43,21.59,90.80,40.50,87.82,53.34,30.08,89.89,28.60,50.33,15.30,62.97,86.76,99.86,63.25,45.89,27.17,16.12,30.46,8.49,52.63,0.00,45.61,19.70,31.76,49.34,58.55,44.05,42.43,33.24,54.78,27.66,34.13,77.83,68.88,32.25,47.13,24.70,96.15,14.04,70.60,29.73,35.74,71.22,18.68,57.38,66.48,65.22,63.06,69.92,56.64,37.12,41.05,57.87,36.35,56.92,76.16,23.41,71.59,48.85,26.93,17.03,64.26,91.08,60.41,91.92,84.50,20.81,73.74,86.35,86.98,31.06,86.15,93.15,20.59,74.53,24.02,72.20,27.31,100.50,84.38,75.66,80.16,49.25,40.31,26.93,60.88,8.06,95.77,52.63,21.59,60.90,86.59,88.32,90.47,63.63,63.41,44.10,55.61,1.41,43.57,38.28,49.65
V40,97.80,65.86,62.80,71.85,66.71,31.26,6.32,107.90,79.21,83.57,48.66,34.37,31.24,63.25,18.97,39.82,104.71,78.49,63.95,31.78,85.59,70.26,93.30,95.27,21.19,96.75,17.03,10.44,35.47,83.36,89.31,106.00,88.36,48.10,67.78,32.80,65.97,45.34,32.53,45.61,0.00,57.58,21.00,28.32,96.10,10.00,22.80,24.19,87.37,42.01,39.46,77.42,90.43,20.00,27.80,61.98,98.01,34.83,43.46,46.00,47.38,93.38,37.59,89.20,68.96,89.56,28.86,42.15,14.14,79.31,14.32,60.37,79.20,31.62,42.43,28.64,35.06,81.50,63.60,34.67,67.12,79.65,53.60,97.42,83.41,24.84,42.20,79.20,55.90,26.48,61.10,97.64,27.86,68.01,31.38,80.53,63.32,105.39,91.30,38.01,66.22,37.44,12.04,46.10,37.44,42.06,99.30,54.13,65.86,25.71,79.91,82.76,55.00,27.29,86.70,42.15,16.12,45.45,86.41,49.65,77.00
V41,40.61,64.20,71.81,35.36,36.69,77.23,61.74,88.24,77.01,55.46,28.64,60.64,50.00,6.00,61.22,50.54,79.65,85.59,32.28,26.42,79.40,21.26,72.80,37.70,47.00,74.32,41.98,59.17,22.14,44.82,72.80,84.10,44.05,38.08,10.30,34.53,10.77,27.78,53.01,19.70,57.58,0.00,38.59,51.09,40.00,52.84,60.03,37.80,35.11,22.47,30.02,65.62,50.21,39.45,48.92,5.10,81.91,32.76,70.49,21.54,26.93,52.35,38.28,37.70,54.33,46.10,67.18,70.18,65.51,21.95,48.55,47.00,22.20,58.41,78.41,29.53,75.69,29.15,7.28,36.14,52.24,82.10,53.15,76.69,72.01,35.23,75.21,76.03,86.95,49.37,83.38,78.19,29.73,65.07,42.95,57.25,7.62,85.09,69.08,79.93,73.16,47.01,55.58,18.79,60.75,17.00,80.99,43.29,13.34,65.80,76.06,77.23,92.42,68.62,44.55,39.00,63.25,21.02,29.15,28.44,30.48
V42,77.83,52.15,52.81,51.20,46.49,39.82,23.77,91.35,66.37,64.41,28.16,42.80,20.22,43.83,23.43,26.93,86.84,68.95,43.42,12.21,71.85,49.37,76.06,76.03,24.41,79.20,13.60,20.59,17.69,62.82,72.86,88.87,67.48,29.41,48.88,26.02,45.88,35.17,23.09,31.76,21.00,38.59,0.00,19.00,75.69,14.32,34.83,4.24,66.48,21.02,18.97,61.55,69.86,1.00,17.03,42.49,82.02,27.02,40.20,25.00,26.68,72.78,33.14,68.26,51.74,68.73,31.30,39.32,26.93,60.54,10.00,42.64,60.75,26.17,44.60,9.22,39.82,60.67,43.86,29.07,49.68,68.45,38.83,80.28,68.01,16.12,42.45,66.04,56.09,30.53,57.01,80.81,11.18,54.08,30.36,62.13,43.46,88.62,73.60,43.91,55.71,23.26,25.06,25.18,31.00,25.61,82.81,36.24,48.84,29.15,66.57,69.07,58.87,31.91,65.92,24.08,24.84,32.20,67.74,29.12,56.00
V43,86.28,37.54,35.36,50.64,44.18,27.73,26.42,79.92,50.99,58.05,29.15,59.03,3.16,55.15,15.03,11.66,77.47,51.43,42.76,27.86,57.28,55.01,65.74,86.21,41.44,69.35,31.05,20.12,34.18,61.13,61.40,78.29,67.90,24.08,60.83,45.01,55.44,53.76,4.47,49.34,28.32,51.09,19.00,0.00,82.76,18.38,49.09,16.28,71.31,29.00,22.20,49.40,68.07,19.03,2.24,53.74,69.89,46.01,21.38,31.40,29.07,71.06,52.09,72.45,41.79,68.59,16.64,20.62,23.54,72.14,15.26,33.96,72.84,7.62,27.46,25.96,24.84,66.21,54.49,48.04,40.16,51.87,25.55,69.77,55.22,35.06,24.60,50.93,37.64,47.76,38.01,69.84,29.43,39.70,48.84,54.12,53.81,77.52,64.08,29.07,38.59,10.20,38.01,33.30,12.00,42.15,71.34,28.28,63.25,16.16,51.62,54.45,41.68,18.79,65.49,18.25,19.24,50.00,79.25,30.08,59.14
V44,7.00,78.24,89.64,38.60,45.45,110.48,99.46,81.15,86.31,52.50,53.85,99.98,80.62,34.00,95.85,77.42,70.03,98.62,43.84,64.33,85.23,27.78,69.43,14.87,87.00,68.73,81.50,95.82,61.40,37.00,72.80,76.11,28.64,61.40,31.40,74.24,30.27,65.51,83.01,58.55,96.10,40.00,75.69,82.76,0.00,89.84,100.02,73.68,13.89,55.36,60.84,72.01,36.35,76.66,80.95,35.01,79.43,72.34,97.62,52.00,53.71,36.06,77.10,14.87,63.81,30.41,99.36,97.80,101.84,23.71,85.07,61.72,25.55,88.84,107.65,67.47,107.19,17.03,33.06,75.54,62.68,93.06,72.84,71.85,76.32,75.11,103.81,84.97,112.61,89.20,105.42,73.98,68.73,77.94,82.49,57.94,33.14,78.23,65.51,111.31,89.40,75.17,95.34,50.92,89.05,57.00,76.94,62.24,39.22,98.84,84.53,84.17,120.25,101.53,32.02,65.73,98.79,59.68,21.21,53.00,26.25
V45,92.11,55.90,53.25,63.20,57.71,27.73,10.00,97.91,69.35,74.00,40.05,42.06,21.26,58.14,12.17,29.83,94.83,69.12,55.23,26.42,75.66,63.15,83.35,90.34,26.02,86.83,17.72,6.40,31.40,74.55,79.32,96.04,80.02,38.60,63.13,34.18,60.17,45.65,22.67,44.05,10.00,52.84,14.32,18.38,89.84,0.00,31.30,16.28,80.23,34.71,31.00,67.42,81.61,13.42,17.80,56.80,88.01,35.85,35.17,38.47,39.00,84.59,40.26,81.88,59.06,81.10,22.02,33.96,12.81,74.79,5.00,50.57,74.95,22.36,36.06,23.32,29.61,74.53,58.18,36.69,57.25,70.00,43.60,87.46,73.41,24.60,35.06,69.31,49.04,32.14,52.89,87.66,24.08,58.05,35.23,70.77,57.78,95.41,81.41,33.24,56.61,27.46,20.12,39.05,28.18,38.95,89.31,44.38,62.63,19.10,70.01,72.84,49.65,21.38,78.16,32.57,11.66,44.20,81.99,41.05,69.26
V46,100.12,85.91,84.38,83.77,80.06,53.04,28.28,126.15,99.81,98.79,61.77,12.04,51.61,66.03,41.76,59.82,121.61,100.34,76.49,39.92,105.76,77.67,110.89,95.75,13.15,114.02,21.95,33.24,40.02,95.46,107.63,123.69,98.67,64.20,69.07,26.31,70.26,37.95,53.54,42.43,22.80,60.03,34.83,49.09,100.02,31.30,0.00,39.05,94.05,52.39,53.00,96.18,102.32,34.06,48.01,65.07,116.73,28.44,66.13,56.46,59.94,105.11,26.40,96.34,86.56,100.24,51.66,64.85,36.22,79.51,33.84,77.47,78.77,53.67,65.12,37.58,57.56,87.97,67.12,25.96,84.50,100.96,72.92,115.11,102.53,25.71,65.00,99.64,78.64,11.70,83.82,115.62,34.18,87.97,19.31,96.83,67.19,123.43,108.41,60.21,87.66,56.73,11.18,55.36,59.48,43.05,117.59,71.06,63.95,48.51,100.26,102.94,77.23,50.01,97.74,58.90,38.83,41.59,85.99,62.65,85.87
V47,76.16,48.02,49.04,47.68,42.72,39.60,26.17,87.11,62.27,60.37,24.52,47.01,17.00,42.72,23.43,23.09,82.66,65.15,39.81,12.21,67.68,46.87,71.84,74.79,28.60,75.00,17.80,22.14,18.36,59.23,68.62,84.65,64.20,25.24,48.01,29.27,44.28,37.48,20.02,33.24,24.19,37.80,4.24,16.28,73.68,16.28,39.05,0.00,63.95,18.44,15.30,57.31,66.29,5.00,14.14,41.34,77.78,30.07,37.66,22.20,23.19,69.23,36.50,65.62,47.51,65.38,30.23,36.88,28.23,59.64,11.40,38.42,60.00,23.77,42.95,9.85,38.83,58.25,42.54,32.39,45.45,64.47,34.67,76.06,63.78,19.65,40.50,61.91,53.85,34.67,54.04,76.58,13.15,49.93,34.18,57.98,42.06,84.39,69.40,43.01,51.87,19.31,29.15,22.80,28.16,26.42,78.57,32.02,48.84,28.43,62.43,64.90,57.27,31.24,62.51,19.85,25.55,33.84,66.85,25.50,53.08
V48,20.25,64.40,75.93,24.84,31.83,99.01,90.09,69.03,72.45,39.05,42.15,95.60,68.94,29.55,85.07,65.00,58.22,84.72,30.61,56.01,71.51,17.12,56.44,26.08,80.89,56.08,74.06,85.91,54.23,23.54,59.44,64.07,16.03,48.88,29.41,69.38,24.35,62.65,71.11,54.78,87.37,35.11,66.48,71.31,13.89,80.23,94.05,63.95,0.00,45.54,50.00,58.18,24.08,67.48,69.64,30.08,66.48,67.72,84.88,41.77,42.38,24.52,73.39,2.83,49.93,18.11,87.73,85.15,91.68,26.93,75.31,48.10,29.15,76.92,95.19,59.03,95.26,6.08,27.86,71.17,48.83,79.18,59.46,59.14,62.63,68.47,91.27,71.11,99.49,83.95,91.92,61.20,61.03,64.07,77.88,44.27,27.51,66.01,52.47,99.30,75.60,63.06,88.09,41.30,76.66,51.42,64.20,49.04,39.05,87.46,70.68,70.38,107.42,90.08,19.03,53.67,88.32,56.08,28.16,41.23,12.81
V49,58.14,45.54,51.16,31.38,28.02,56.04,44.55,77.80,59.44,47.51,10.82,57.43,27.66,26.17,40.71,28.23,71.42,66.03,24.19,12.53,63.25,28.44,62.01,57.43,39.82,64.54,30.68,40.52,15.00,43.08,60.21,74.52,46.87,18.25,31.89,33.30,26.63,35.11,30.61,27.66,42.01,22.47,21.02,29.00,55.36,34.71,52.39,18.44,45.54,0.00,7.62,50.57,49.98,22.02,26.91,24.76,69.64,32.80,48.02,4.12,8.60,52.81,40.00,47.27,39.36,48.27,45.45,47.71,46.49,43.14,29.83,30.46,43.86,36.12,56.08,14.87,53.81,39.81,25.50,36.24,37.12,63.51,33.02,66.22,57.27,27.46,52.80,58.69,64.50,44.65,61.35,67.20,18.36,46.87,41.04,46.75,24.84,74.81,58.90,58.05,53.01,24.60,44.38,4.47,38.28,19.65,69.63,25.00,35.34,44.41,58.94,60.73,70.00,47.20,45.61,17.26,43.46,28.86,50.25,11.40,35.01
V50,64.14,39.29,44.01,32.39,27.51,49.74,41.00,74.33,53.45,45.79,9.22,59.46,20.52,33.42,35.11,20.62,68.88,59.21,24.52,15.26,57.78,33.24,58.69,64.03,41.23,61.55,31.06,36.22,19.92,43.93,56.22,71.42,49.04,12.53,39.20,37.22,33.30,41.00,23.35,34.13,39.46,30.02,18.97,22.20,60.84,31.00,53.00,15.30,50.00,7.62,0.00,45.79,50.99,19.92,20.25,32.02,65.60,37.12,40.50,9.22,8.00,53.94,44.29,51.42,35.00,50.16,38.83,40.22,41.77,50.25,26.00,25.81,51.09,29.00,48.84,16.28,47.01,44.60,32.56,40.31,32.80,57.07,26.31,62.94,52.48,29.73,45.45,52.81,56.94,46.69,53.76,63.70,20.62,40.80,44.20,44.05,31.83,71.45,55.90,51.22,46.04,17.00,43.86,11.40,30.81,26.08,65.95,19.72,42.95,38.08,53.14,55.15,62.63,40.82,47.27,10.00,38.33,35.23,57.28,10.20,38.47
V51,78.39,14.04,25.50,34.93,30.07,68.45,75.80,30.53,14.42,21.21,39.92,104.24,46.32,65.07,63.07,37.74,29.43,27.59,34.00,61.06,14.04,51.48,17.26,83.17,85.80,21.21,75.07,69.46,65.30,35.51,12.08,29.15,44.65,33.29,70.00,83.01,61.01,85.62,45.65,77.83,77.42,65.62,61.55,49.40,72.01,67.42,96.18,57.31,58.18,50.57,45.79,0.00,38.95,62.24,49.65,64.12,20.62,82.86,46.27,48.10,42.15,41.01,90.05,57.25,11.40,43.60,58.52,47.38,72.01,76.66,63.41,20.12,78.52,48.85,57.08,61.85,61.81,56.92,63.03,86.09,13.60,21.40,23.85,20.88,6.71,75.21,53.15,13.04,53.94,91.68,42.72,20.62,66.29,12.00,89.87,14.87,62.03,28.18,17.03,64.38,23.09,40.00,85.70,50.92,44.27,70.01,21.95,26.08,78.23,60.41,12.53,12.37,63.79,61.68,41.05,37.64,67.54,79.12,81.58,39.56,47.13
V52,43.29,48.83,61.29,18.68,24.02,94.20,91.55,45.00,53.26,17.80,41.77,106.47,65.12,46.23,83.02,58.69,34.13,66.53,26.48,62.39,50.77,29.07,33.24,50.00,89.55,32.39,80.65,86.21,63.06,7.07,37.16,40.01,8.06,44.01,48.55,80.78,40.61,77.34,66.37,68.88,90.43,50.21,69.86,68.07,36.35,81.61,102.32,66.29,24.08,49.98,50.99,38.95,0.00,70.83,67.01,46.10,43.17,79.61,75.89,45.88,43.17,3.00,86.27,22.00,34.13,6.00,82.87,76.54,91.02,49.65,76.66,36.69,51.87,71.70,86.98,64.85,89.05,26.25,44.05,83.22,34.00,60.31,48.70,35.51,41.88,76.97,82.86,51.86,88.10,93.91,78.55,37.66,68.15,47.80,89.19,24.08,43.28,42.01,29.41,92.65,60.00,58.22,94.25,47.01,69.63,63.25,40.61,40.61,58.52,83.49,51.22,50.22,97.17,85.71,5.83,50.00,87.00,70.29,51.97,40.79,20.00
V53,78.77,52.70,53.14,52.17,47.43,39.20,22.80,92.10,66.89,65.30,29.12,42.20,20.40,44.72,22.80,27.31,87.66,69.29,44.38,13.04,72.42,50.36,76.84,76.92,23.85,80.00,13.04,19.72,18.38,63.79,73.59,89.64,68.47,30.23,49.74,26.00,46.82,35.44,23.19,32.25,20.00,39.45,1.00,19.03,76.66,13.42,34.06,5.00,67.48,22.02,19.92,62.24,70.83,0.00,17.12,43.38,82.73,27.07,40.11,26.00,27.66,73.76,33.06,69.26,52.50,69.72,30.87,39.20,26.08,61.40,9.22,43.42,61.59,26.08,44.27,10.00,39.36,61.66,44.78,29.02,50.45,68.88,39.41,81.06,68.68,16.03,42.20,66.57,55.90,30.02,57.04,81.57,11.66,54.64,30.08,62.97,44.38,89.38,74.40,43.42,56.08,23.71,24.19,26.17,31.02,26.25,83.55,37.01,49.58,28.65,67.12,69.63,58.52,31.38,66.91,24.84,24.08,32.65,68.60,30.08,57.00
